year,round,driver,quali_gap
2015,10,vettel,0.7190000000000083
2015,11,alonso,4.222999999999999
2015,11,bottas,1.3400000000000034
2015,11,button,3.781000000000006
2015,11,ericsson,2.3259999999999934
2015,11,grosjean,1.3640000000000043
2015,11,hamilton,0.0
2015,11,hulkenberg,1.9240000000000064
2015,11,kvyat,2.031000000000006
2015,11,maldonado,1.556999999999988
2015,11,massa,1.4879999999999995
2015,11,max_verstappen,2.6340000000000003
2015,11,merhi,5.901999999999987
2015,11,nasr,2.7549999999999955
2015,11,perez,1.4019999999999868
2015,11,raikkonen,2.090999999999994
2015,11,ricciardo,1.4420000000000073
2015,11,rosberg,0.4579999999999984
2015,11,sainz,1.867999999999995
2015,11,stevens,5.751000000000005
2015,11,vettel,1.563999999999993
2015,12,alonso,2.771000000000001
2015,12,bottas,0.7439999999999998
2015,12,button,2.674999999999997
2015,12,ericsson,1.073999999999998
2015,12,grosjean,1.065000000000012
2015,12,hamilton,0.0
2015,12,hulkenberg,1.1270000000000095
2015,12,kvyat,2.359000000000009
2015,12,maldonado,1.14200000000001
2015,12,massa,0.5570000000000022
2015,12,merhi,4.529000000000011
2015,12,nasr,1.5150000000000006
2015,12,perez,0.9960000000000092
2015,12,raikkonen,0.2480000000000046
2015,12,ricciardo,2.25
2015,12,rosberg,0.3200000000000074
2015,12,sainz,2.027000000000001
2015,12,stevens,4.347999999999999
2015,12,vettel,0.1940000000000026
2015,13,alonso,2.443000000000012
2015,13,bottas,1.791000000000011
2015,13,button,2.006
2015,13,ericsson,3.203000000000003
2015,13,grosjean,1.920000000000016
2015,13,hamilton,1.4150000000000065
2015,13,hulkenberg,2.420000000000016
2015,13,kvyat,0.8600000000000136
2015,13,maldonado,3.4380000000000166
2015,13,massa,1.8160000000000025
2015,13,max_verstappen,1.75
2015,13,nasr,3.0800000000000125
2015,13,perez,2.5
2015,13,raikkonen,0.7820000000000107
2015,13,ricciardo,0.5430000000000064
2015,13,rosberg,1.5300000000000011
2015,13,rossi,7.638000000000005
2015,13,sainz,2.5800000000000125
2015,13,stevens,7.13600000000001
2015,13,vettel,0.0
2015,14,alonso,2.2009999999999934
2015,14,bottas,0.4399999999999977
2015,14,button,3.0799999999999983
2015,14,ericsson,3.088999999999998
2015,14,grosjean,1.3829999999999956
2015,14,hamilton,0.0759999999999934
2015,14,hulkenberg,1.8059999999999976
2015,14,kvyat,1.6169999999999902
2015,14,maldonado,1.9129999999999967
2015,14,massa,0.7530000000000001
2015,14,max_verstappen,1.937999999999988
2015,14,nasr,3.175999999999988
2015,14,perez,1.5900000000000034
2015,14,raikkonen,0.7630000000000052
2015,14,ricciardo,0.9129999999999968
2015,14,rosberg,0.0
2015,14,rossi,14.53
2015,14,sainz,1.869
2015,14,stevens,6.198999999999998
2015,14,vettel,0.6610000000000014
2015,15,alonso,3.031000000000006
2015,15,bottas,0.7990000000000066
2015,15,button,2.6260000000000048
2015,15,ericsson,3.546999999999997
2015,15,grosjean,1.6409999999999911
2015,15,hamilton,0.3199999999999932
2015,15,hulkenberg,1.5459999999999925
2015,15,kvyat,2.100999999999999
2015,15,maldonado,2.61099999999999
2015,15,massa,1.8130000000000024
2015,15,max_verstappen,1.811000000000007
2015,15,merhi,6.6910000000000025
2015,15,nasr,2.210000000000008
2015,15,perez,1.578000000000003
2015,15,raikkonen,1.11099999999999
2015,15,ricciardo,1.891999999999996
2015,15,rosberg,0.0
2015,15,stevens,6.579999999999998
2015,15,vettel,0.8520000000000039
2015,16,alonso,3.209000000000003
2015,16,bottas,3.073999999999998
2015,16,button,3.765999999999991
2015,16,ericsson,5.716999999999999
2015,16,grosjean,3.741
2015,16,hamilton,0.3760000000000048
2015,16,hulkenberg,1.8299999999999983
2015,16,kvyat,1.144999999999996
2015,16,maldonado,4.3489999999999895
2015,16,massa,3.5039999999999907
